"2014-05-12","2014-05-13","2014-05-14","2014-05-15","2014-05-16","2014-05-19","2014-05-20","2014-05-21","2014-05-22","2014-05-23","2014-05-26","2014-05-27","2014-05-28","2014-05-29","2014-05-30","2014-06-02","2014-06-03","2014-06-04","2014-06-05","2014-06-06","2014-06-09","2014-06-10","2014-06-11","2014-06-12","2014-06-13","2014-06-16","2014-06-17","2014-06-18","2014-06-19","2014-06-20","2014-06-23","2014-06-24","2014-06-25","2014-06-26","2014-06-27","2014-06-30","2014-07-01","2014-07-02","2014-07-03","2014-07-04","2014-07-07","2014-07-08","2014-07-09","2014-07-10","2014-07-11","2014-07-14","2014-07-15","2014-07-16","2014-07-17","2014-07-18","2014-07-21","2014-07-22","2014-07-23","2014-07-24","2014-07-25","2014-07-28","2014-07-29","2014-07-30","2014-07-31","2014-08-01","2014-08-04","2014-08-05","2014-08-06","2014-08-07","2014-08-08","2014-08-11","2014-08-12","2014-08-13","2014-08-14","2014-08-15","2014-08-18","2014-08-19","2014-08-20","2014-08-21","2014-08-22","2014-08-25","2014-08-26","2014-08-27","2014-08-28","2014-08-29","2014-09-01","2014-09-02","2014-09-03","2014-09-04","2014-09-05","2014-09-08","2014-09-09","2014-09-10","2014-09-11","2014-09-12","2014-09-15","2014-09-16","2014-09-17","2014-09-18","2014-09-19","2014-09-22","2014-09-23","2014-09-24","2014-09-25","2014-09-26","2014-09-29","2014-09-30"
121.349,122.5,122.75,123.35,122.4,121.25,121.25,120.95,122.1,122.05,122.35,123.25,124.6,124.8,124.1,124.7,124.8,123.65,123.4,123.9,123.8,125.35,125.15,124.6,123.3,123.3,123.4,123.7,124.25,123.8,123.4,122.3,121.8,122.4,121.3,121.55,122.2,122.55,122.85,124.5,125.85,126.6,127.15,129,127.6,129,130,130.35,130.3,129.15,129.65,128.05,128.9,129.25,129.5,129.2,128.65,128.55,127.25,124.15,123.25,123.1,121.7,121.75,121.4,123.05,124.4,125.25,125.45,127.1,127.5,128.55,127.45,127.9,128.5,129.3,129.6,130.9,130,129.6,129.901,130.65,131.45,132.05,133.95,133.7,133,133.1,134,133.7,132.85,134.299,134.7,136.1,138.2,137.75,138.25,136.75,137.35,136.4,129.3,129.3
121.35,122.4,122.6,123.45,122.3,121.35,121.2,120.6,122.15,122.1,122.2,123.15,124.65,124.8,124,124.7,124.65,123.95,123.451,124,123.9,125.25,125.1,124.5,123.35,123.3,123.5,123.65,124.3,123.8,123.4,122.25,121.8,122.351,121.5,121.55,122.35,122.6,122.85,124.4,125.75,126.6,127.25,129.35,127.6,128.9,129.9,130.25,130.2,129.15,129.25,128.1,128.8,129.15,129.55,129.35,128.65,128.3,127.3,123.75,123.25,123.2,121.35,121.8,121.8,123.35,124.15,125.3,125.2,126.85,127.55,128.25,127.45,127.85,128.6,129.35,129.45,130.8,130,129.7,129.95,130.6,131.35,132.05,133.95,133.75,133.1,133.2,133.95,133.75,132.85,134.2,134.75,136.05,138.45,137.75,138.2,136.55,137.7,136.4,129.4,129
121.35,122.4,122.5,123.4,122.3,121.35,121.25,120.65,122.15,122.1,122.4,123.249,124.65,124.85,123.95,124.7,124.65,124,123.5,124.2,123.85,125.25,125.05,124.7,123.35,123.35,123.45,123.65,124.3,123.8,123.45,122.25,121.8,122.45,121.45,121.55,122.4,122.55,122.8,124.45,125.75,126.6,127.3,129.3,127.4,129,129.85,130.4,130.1,129.151,129.35,128.25,128.8,129.1,129.7,129.35,128.7,128.45,127.15,123.5,123.3,123.05,121.55,121.75,121.95,123.3,124.3,125.3,125.2,126.95,127.7,128.35,127.2,127.8,128.45,129.4,129.5,130.7,130.2,129.75,129.95,130.6,131.4,131.95,133.8,133.8,133.1,133.35,133.85,133.8,132.8,134.45,134.75,136,138.45,137.7,138.2,136.5,137.65,136.5,129.05,128.8
121.35,122.4,122.6,123.4,122.2,121.35,121.25,120.65,122.15,122.15,122.4,123.2,124.65,124.95,123.9,124.55,124.75,124,123.55,124.2,123.85,125.3,125,124.55,123.4,123.3,123.4,123.65,124.35,123.8,123.3,122.3,121.75,122.3,121.35,121.5,122.4,122.5,122.85,124.35,125.8,126.7,127.35,129.25,127.4,128.85,129.95,130.45,130.4,129.15,129.2,128.2,128.6,129.05,130,129.15,128.7,128.45,127,123.25,123.25,123,121.65,121.75,121.7,123.4,124.2,125.25,125.35,127.05,127.7,128.25,127.45,127.7,128.6,129.45,129.5,130.75,129.95,129.8,129.95,130.65,131.45,132.1,134,133.75,133.05,133.2,133.8,133.8,132.7,134.35,134.75,136,138.2,137.7,138.3,136.45,137.7,136.4,129,128.9
121.35,122.5,122.65,123.3,122.15,121.45,121.2,120.6,122.15,122,122.4,123.25,124.6,125,123.8,124.6,124.75,124.1,123.4,124.45,123.85,125.3,125,124.8,123.3,123.3,123.45,123.65,124.35,123.7,123.3,122.35,121.9,122.35,121.4,121.6,122.35,122.55,122.9,124.2,125.7,126.7,127.15,129.3,127.4,128.85,129.7,130.45,130,129.25,129.1,128.25,128.75,128.9,130,129.3,128.85,128.4,127,123.25,123.1,122.9,121.7,121.7,121.85,123.35,124.3,125.15,125.6,127.1,127.6,128.2,127.6,127.7,128.5,129.45,129.55,130.75,130,129.9,129.95,130.45,131.5,132.3,134,133.6,133.1,133.25,133.85,133.8,132.85,134.45,134.8,135.95,138.2,137.6,138.25,136.35,137.75,136.3,129.4,129.25
121.35,122.55,122.5,123.35,122.2,121.5,121.3,120.5,122,122.05,122.4,123.35,124.55,125,123.8,124.75,124.75,124.05,123.4,124.5,123.8,125.25,125.1,124.7,123.2,123.35,123.6,123.6,124.3,123.65,123.3,122.3,122.05,122.15,121.5,121.8,122.3,122.55,123,124.15,125.75,126.8,127,129.3,127.35,128.85,129.85,130.5,130,129.4,129.05,128.25,128.75,129,129.9,129.25,128.85,128.3,126.8,123.2,123.15,123.1,121.75,121.55,121.85,123.4,124.25,125.05,125.55,127,127.8,128.2,127.65,127.65,128.6,129.35,129.7,130.8,130,129.8,130.05,130.5,131.5,132.45,134,133.7,133.1,133.2,133.85,133.7,132.75,134.45,134.6,135.85,138.3,137.55,138.35,136.35,137.75,136.3,129.2,129.4
121.4,122.45,122.6,123.15,122.25,121.4,121.3,120.6,122,122.05,122.35,123.35,124.5,125,123.8,124.65,124.75,124.15,123.4,124.4,123.85,125.3,125,124.6,123.2,123.5,123.6,123.55,124.25,123.65,123.349,122.3,122.1,122.2,121.4,121.7,122.3,122.6,123.05,124.3,125.75,126.65,126.85,129.4,127.15,129.05,129.9,130.5,130.35,129.5,129.05,128.2,128.75,128.9,129.9,129.1,128.85,128.15,126.85,123.25,123.05,122.9,121.8,121.7,121.65,123.5,124.05,125,125.55,126.95,127.9,128.3,127.5,127.7,128.6,129.55,129.7,130.9,130.1,129.8,130,130.5,131.5,132.45,134,133.55,133.15,133.25,134,133.5,132.75,134.45,134.75,135.8,138.35,137.6,138.35,136.45,137.7,136.15,129.3,129.35
121.351,122.45,122.55,123.15,122.15,121.35,121.25,120.55,121.95,122.1,122.45,123.25,124.45,125,123.7,124.55,124.75,124,123.4,124.35,123.75,125.35,125,124.6,123.2,123.5,123.55,123.55,124.3,123.65,123.4,122.3,122.1,122.2,121.2,121.85,122.3,122.6,123.05,124.3,125.8,126.55,126.85,129.2,127.3,129,129.9,130.55,130.25,129.4,129.1,128.25,128.75,129,129.8,129.05,128.95,128.35,126.95,123,123.2,122.9,121.7,121.8,121.5,123.55,123.95,125.1,125.55,127,127.7,128.3,127.5,127.55,128.6,129.65,129.7,130.65,130.1,129.8,130,130.55,131.5,132.5,134.05,133.5,133.2,133.25,134.05,133.3,132.75,134.45,134.85,135.6,138.25,137.65,138.3,136.55,137.85,136.6,129.4,129.15
121.25,122.45,122.5,123.1,122.25,121.4,121.35,120.4,121.95,122.2,122.35,123.2,124.35,125.05,123.7,124.65,124.7,124.05,123.55,124.45,123.75,125.35,124.901,124.55,123.25,123.35,123.55,123.5,124.3,123.65,123.45,122.3,122.1,122.3,121.35,121.8,122.35,122.6,123.05,124.3,126,126.5,127,129.3,127.35,129.1,130.1,130.45,130.1,129.5,129.1,128.2,128.75,128.95,129.9,129.2,129.05,128.45,126.95,123,123.201,122.75,121.7,121.75,121.35,123.65,124,125.1,125.55,127,127.55,128.201,127.5,127.5,128.6,129.5,129.6,130.85,130.1,129.75,130,130.55,131.55,132.45,134.05,133.5,133.2,133.3,133.9,133.4,132.6,134.5,134.85,135.55,138.2,137.8,138.25,136.5,137.85,136.65,129.45,129.25
121.25,122.55,122.45,123.05,122.25,121.4,121.5,120.5,121.95,122.25,122.35,123.25,124.35,125.15,123.55,124.6,124.75,124.05,123.55,124.4,123.7,125.3,124.9,124.65,123.2,123.2,123.5,123.6,124.25,123.55,123.45,122.25,122.2,122.2,121.25,121.85,122.4,122.6,123,124.3,126.1,126.5,127,129.35,127.4,129.05,130.15,130.55,130.1,129.55,129.2,128.35,128.75,128.85,129.9,129.1,129.1,128.7,126.95,122.6,123.15,122.9,121.65,121.8,121.3,123.65,124.2,125.25,125.6,127.05,127.6,128.35,127.4,127.5,128.7,129.7,129.65,130.8,130.15,129.75,130.1,130.65,131.6,132.522,134.15,133.6,133.15,133.35,133.9,133.25,132.75,134.55,134.85,135.35,138.3,137.85,138.35,136.45,137.9,136.7,129.45,129.099
