Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,29.350000,29.424999,29.200001,29.200001,26.326611,2964222
2019-07-02,29.299999,29.375000,29.065001,29.230000,26.353657,2356007
2019-07-03,29.299999,29.490000,29.190001,29.455000,26.556517,1745102
2019-07-04,29.490000,29.795000,29.440001,29.680000,26.759377,1792842
2019-07-05,29.580000,29.645000,29.434999,29.590000,26.678234,1920787
2019-07-08,29.459999,29.655001,29.375000,29.504999,26.601597,1489337
2019-07-09,29.440001,29.530001,28.975000,29.240000,26.362673,2999129
2019-07-10,29.250000,29.485001,29.219999,29.320000,26.434801,1751754
2019-07-11,29.485001,29.660000,29.309999,29.445000,26.547503,1817939
2019-07-12,29.480000,29.660000,29.350000,29.355000,26.466356,2259701
2019-07-15,29.500000,29.684999,29.235001,29.424999,26.529469,1842810
2019-07-16,29.430000,29.584999,29.305000,29.540001,26.633154,2798911
2019-07-17,29.580000,29.760000,29.355000,29.465000,26.565535,2172430
2019-07-18,29.445000,29.610001,29.315001,29.355000,26.466356,2034425
2019-07-19,29.600000,29.709999,29.330000,29.495001,26.592581,2212092
2019-07-22,29.490000,29.650000,29.405001,29.475000,26.574551,1401280
2019-07-23,29.549999,30.340000,29.549999,30.219999,27.246239,3522158
2019-07-24,30.184999,30.549999,30.100000,30.455000,27.458115,2881136
2019-07-25,30.514999,30.665001,30.065001,30.240000,27.264271,3627063
2019-07-26,30.344999,30.400000,30.030001,30.299999,27.318367,2016121
2019-07-29,30.209999,30.455000,30.209999,30.330000,27.345413,1398496
2019-07-30,30.330000,30.370001,29.375000,29.430000,26.533978,3705805
2019-07-31,29.365000,29.540001,29.350000,29.510000,26.606106,2868311
2019-08-01,29.450001,29.620001,29.275000,29.400000,26.506929,3960588
2019-08-02,28.809999,28.870001,28.125000,28.350000,25.560253,6328283
2019-08-05,28.110001,28.235001,27.780001,27.879999,25.136503,4423529
2019-08-06,28.370001,29.290001,28.344999,28.510000,25.704510,5826113
2019-08-07,28.740000,28.830000,28.295000,28.684999,25.862288,3703868
2019-08-08,28.990000,29.485001,28.860001,29.400000,26.506929,3742077
2019-08-09,29.100000,29.150000,28.485001,28.674999,25.853271,3892570
2019-08-12,28.799999,28.924999,28.340000,28.525000,25.718033,1803958
2019-08-13,28.379999,29.245001,28.375000,29.030001,26.173340,3018800
2019-08-14,28.990000,28.990000,28.264999,28.450001,25.650414,3418907
2019-08-15,28.434999,28.500000,27.764999,28.230000,25.452061,3524697
2019-08-16,28.309999,28.615000,28.295000,28.580000,25.767622,3032956
